,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
300443,12095016902,12095014100,-81.41452803653735,28.45891414402385,-81.35110729986408,28.46557696819512,492,07/05/21 - 07/11/21,13,338.0
300444,12095016902,12095014805,-81.41452803653735,28.45891414402385,-81.48969156562153,28.546291085221007,492,07/05/21 - 07/11/21,12,312.0
300445,12095016902,12095014904,-81.41452803653735,28.45891414402385,-81.49074315257133,28.55557132915733,492,07/05/21 - 07/11/21,4,104.0
300447,12095016902,12095012403,-81.41452803653735,28.45891414402385,-81.43113076203412,28.58584104326704,492,07/05/21 - 07/11/21,4,104.0
300452,12095016902,12095016407,-81.41452803653735,28.45891414402385,-81.29118260674046,28.590716079394017,492,07/05/21 - 07/11/21,4,104.0
300453,12095016902,12095012800,-81.41452803653735,28.45891414402385,-81.35601760578167,28.574153390203342,492,07/05/21 - 07/11/21,4,104.0
300456,12095016902,12095018500,-81.41452803653735,28.45891414402385,-81.3868498818172,28.522081357620365,492,07/05/21 - 07/11/21,16,417.0
300458,12095016902,12095017015,-81.41452803653735,28.45891414402385,-81.45049530994747,28.35403954023504,492,07/05/21 - 07/11/21,4,104.0
300460,12095016902,12095018300,-81.41452803653735,28.45891414402385,-81.4174053432994,28.546951964351635,492,07/05/21 - 07/11/21,11,286.0
300462,12095016902,12095018400,-81.41452803653735,28.45891414402385,-81.33322938280496,28.54708740626904,492,07/05/21 - 07/11/21,4,104.0
300464,12095016902,12095014605,-81.41452803653735,28.45891414402385,-81.43218801897508,28.51851484340136,492,07/05/21 - 07/11/21,4,104.0
300465,12095016902,12095014301,-81.41452803653735,28.45891414402385,-81.38490817246976,28.4832000592622,492,07/05/21 - 07/11/21,9,234.0
300466,12095016902,12095017108,-81.41452803653735,28.45891414402385,-81.5286073127171,28.43422375709477,492,07/05/21 - 07/11/21,4,104.0
300469,12095016902,12095012000,-81.41452803653735,28.45891414402385,-81.44398682587132,28.567730383379853,492,07/05/21 - 07/11/21,4,104.0
300470,12095016902,12095013603,-81.41452803653735,28.45891414402385,-81.3208074555143,28.519360849232896,492,07/05/21 - 07/11/21,4,104.0
300471,12095016902,12095016806,-81.41452803653735,28.45891414402385,-81.34320855220106,28.37873129686788,492,07/05/21 - 07/11/21,9,234.0
